"Nombre","Fecha","Tipo","Horario"
"EL CUADRO ROBADO","2025-09-14","SUB","15:10"
"EL CUADRO ROBADO","2025-09-15","SUB","15:10"
"EL CUADRO ROBADO","2025-09-16","SUB","15:10"
"EL CUADRO ROBADO","2025-09-17","SUB","15:10"
"EL CUADRO ROBADO","2025-09-14","SUB","17:10"
"EL CUADRO ROBADO","2025-09-15","SUB","17:10"
"EL CUADRO ROBADO","2025-09-16","SUB","17:10"
"EL CUADRO ROBADO","2025-09-17","SUB","17:10"
"EL CUADRO ROBADO","2025-09-14","SUB","19:30"
"EL CUADRO ROBADO","2025-09-15","SUB","19:30"
"EL CUADRO ROBADO","2025-09-16","SUB","19:30"
"EL CUADRO ROBADO","2025-09-17","SUB","19:30"
"TOY STORY","2025-09-14","CAST","15:20"
"TOY STORY","2025-09-15","CAST","15:20"
"TOY STORY","2025-09-16","CAST","15:20"
"TOY STORY","2025-09-17","CAST","15:20"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-14","CAST","17:10"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-15","CAST","17:10"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-16","CAST","17:10"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-17","CAST","17:10"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-14","SUB","19:50"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-15","SUB","19:50"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-16","SUB","19:50"
"EL CONJURO 4: ÚLTIMO RITO","2025-09-17","SUB","19:50"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-14","CAST","17:50"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-15","CAST","17:50"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-16","CAST","17:50"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-17","CAST","17:50"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-14","SUB","20:00"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-15","SUB","20:00"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-16","SUB","20:00"
"TOGETHER: JUNTOS
HASTA LA MUERTE","2025-09-17","SUB","20:00"
"DEMON SLAYER:
KIMETSU NO YAIBA
CASTILLO INFINITO","2025-09-14","SUB","14:50"
"DEMON SLAYER:
KIMETSU NO YAIBA
CASTILLO INFINITO","2025-09-15","SUB","14:50"
"DEMON SLAYER:
KIMETSU NO YAIBA
CASTILLO INFINITO","2025-09-16","SUB","14:50"
"DEMON SLAYER:
KIMETSU NO YAIBA
CASTILLO INFINITO","2025-09-17","SUB","14:50"
"HOMO ARGENTUM","2025-09-14","CAST","15:00"
"HOMO ARGENTUM","2025-09-15","CAST","15:00"
"HOMO ARGENTUM","2025-09-16","CAST","15:00"
"HOMO ARGENTUM","2025-09-17","CAST","15:00"
"HOMO ARGENTUM","2025-09-14","CAST","17:30"
"HOMO ARGENTUM","2025-09-15","CAST","17:30"
"HOMO ARGENTUM","2025-09-16","CAST","17:30"
"HOMO ARGENTUM","2025-09-17","CAST","17:30"
"HOMO ARGENTUM","2025-09-14","CAST","19:40"
"HOMO ARGENTUM","2025-09-15","CAST","19:40"
"HOMO ARGENTUM","2025-09-16","CAST","19:40"
"HOMO ARGENTUM","2025-09-17","CAST","19:40"
