"Nombre","Fecha","Tipo","Horario"
"BJÖRK CORNUCOPIA","07/05","2D SUBTITULADA"," 20:00"
"BLANCA NIEVES","07/05","2D SUBTITULADA"," 20:00"
"DROP AMENAZA ANONIMA","07/05","2D SUBTITULADA"," 20:00"
"EL AMATEUR OPERACION VENGANZA","07/05","2D SUBTITULADA"," 20:00"
"EL CONTADOR 2","07/05","2D SUBTITULADA"," 20:00"
"LA ZURDA","07/05","2D SUBTITULADA"," 20:00"
"MAZEL TOV","07/05","2D SUBTITULADA"," 20:00"
"PECADORES","07/05","2D SUBTITULADA"," 20:00"
"PINK FLOYD AT POMPEII MCMLXXII","07/05","2D SUBTITULADA"," 20:00"
"PUENTE EN LLAMAS","07/05","2D SUBTITULADA"," 20:00"
"SW EPISODIO III LA VENGANZA","07/05","2D SUBTITULADA"," 20:00"
"THE CHOSEN LA ULTIMA CENA","07/05","2D SUBTITULADA"," 20:00"
"THUNDERBOLTS","30/04","DBOX + 3D CASTELLANO"," 14:30"
"THUNDERBOLTS","30/04","DBOX + 3D CASTELLANO"," 17:20"
"THUNDERBOLTS","30/04","DBOX + 3D CASTELLANO"," 20:10"
"THUNDERBOLTS","30/04","DBOX + 3D CASTELLANO"," 23:00"
"THUNDERBOLTS","30/04","DBOX + 2D CASTELLANO"," 14:00"
"THUNDERBOLTS","30/04","DBOX + 2D CASTELLANO"," 16:50"
"THUNDERBOLTS","30/04","DBOX + 2D CASTELLANO"," 19:40"
"THUNDERBOLTS","30/04","DBOX + 2D CASTELLANO"," 22:30"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 14:30"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 15:50"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 17:20"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 18:40"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 20:10"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 21:00"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 21:30"
"THUNDERBOLTS","30/04","3D CASTELLANO"," 23:00"
"THUNDERBOLTS","30/04",""," 13:30"
"THUNDERBOLTS","30/04",""," 14:00"
"THUNDERBOLTS","30/04",""," 15:20"
"THUNDERBOLTS","30/04",""," 16:20"
"THUNDERBOLTS","30/04",""," 16:50"
"THUNDERBOLTS","30/04",""," 18:10"
"THUNDERBOLTS","30/04",""," 19:10"
"THUNDERBOLTS","30/04",""," 19:40"
"THUNDERBOLTS","30/04",""," 22:30"
"THUNDERBOLTS","30/04",""," 22:00"
"THUNDERBOLTS","02/05","DBOX + 3D CASTELLANO"," 14:30"
"THUNDERBOLTS","02/05","DBOX + 3D CASTELLANO"," 17:20"
"THUNDERBOLTS","02/05","DBOX + 3D CASTELLANO"," 20:10"
"THUNDERBOLTS","02/05","DBOX + 3D CASTELLANO"," 23:00"
"THUNDERBOLTS","02/05","DBOX + 2D CASTELLANO"," 14:00"
"THUNDERBOLTS","02/05","DBOX + 2D CASTELLANO"," 16:50"
"THUNDERBOLTS","02/05","DBOX + 2D CASTELLANO"," 19:40"
"THUNDERBOLTS","02/05","DBOX + 2D CASTELLANO"," 22:30"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 14:30"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 15:50"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 17:20"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 18:40"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 20:10"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 21:00"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 21:30"
"THUNDERBOLTS","02/05","3D CASTELLANO"," 23:00"
"THUNDERBOLTS","02/05",""," 14:00"
"THUNDERBOLTS","02/05",""," 15:20"
"THUNDERBOLTS","02/05",""," 16:20"
"THUNDERBOLTS","02/05",""," 16:50"
"THUNDERBOLTS","02/05",""," 18:10"
"THUNDERBOLTS","02/05",""," 19:10"
"THUNDERBOLTS","02/05",""," 19:40"
"THUNDERBOLTS","02/05",""," 22:30"
"THUNDERBOLTS","02/05",""," 22:00"
"THUNDERBOLTS","03/05","DBOX + 3D CASTELLANO"," 14:30"
"THUNDERBOLTS","03/05","DBOX + 3D CASTELLANO"," 17:20"
"THUNDERBOLTS","03/05","DBOX + 3D CASTELLANO"," 20:10"
"THUNDERBOLTS","03/05","DBOX + 3D CASTELLANO"," 23:00"
"THUNDERBOLTS","03/05","DBOX + 2D CASTELLANO"," 14:00"
