"Nombre","Fecha","Tipo","Horario","FormatoImagen","FormatoIdioma","Cine"
"ANORA",2025-03-08,"SUB","16:50","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-09,"SUB","16:50","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-10,"SUB","16:50","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-11,"SUB","16:50","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-12,"SUB","16:50","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-08,"SUB","19:40","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-09,"SUB","19:40","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-10,"SUB","19:40","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-11,"SUB","19:40","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-12,"SUB","19:40","2D","Subtitulado","Cines del Centro"
"ANORA",2025-03-08,"SUB","22:30","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-08,"SUB","14:50","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-09,"SUB","14:50","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-10,"SUB","14:50","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-11,"SUB","14:50","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-12,"SUB","14:50","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-08,"SUB","20:10","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-09,"SUB","20:10","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-10,"SUB","20:10","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-11,"SUB","20:10","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-12,"SUB","20:10","2D","Subtitulado","Cines del Centro"
"LA PERSECUCIÓN",2025-03-08,"SUB","22:20","2D","Subtitulado","Cines del Centro"
"MARÍA CALLAS",2025-03-08,"SUB","15:00","2D","Subtitulado","Cines del Centro"
"MARÍA CALLAS",2025-03-09,"SUB","15:00","2D","Subtitulado","Cines del Centro"
"MARÍA CALLAS",2025-03-10,"SUB","15:00","2D","Subtitulado","Cines del Centro"
"MARÍA CALLAS",2025-03-11,"SUB","15:00","2D","Subtitulado","Cines del Centro"
