Fecha,Horario,FormatoImagen,FormatoIdioma,Cine,Nombre
2025-04-23,18:30,2D,Castellano,Monumental,MINECRAFT
2025-04-23,21:00,2D,Castellano,Monumental,PECADORES
2025-04-23,21:15,2D,Castellano,Monumental,MAZEL TOV
2025-04-23,19:00,2D,Castellano,Monumental,MAZEL TOV
2025-04-23,19:40,2D,Castellano,Monumental,BLANCANIEVES
2025-04-23,19:40,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-23,20:00,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-23,21:00,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-23,22:10,2D,Castellano,Las Tipas,MAZEL TOV
2025-04-23,22:20,2D,Castellano,Monumental,DROP AMENAZA ANONIMA
2025-04-23,22:00,2D,Castellano,Cinépolis,MAZEL TOV
2025-04-23,19:15,2D,Castellano,Showcase,PECADORES
2025-04-23,21:50,2D,Castellano,Las Tipas,El Amateur: Operación Venganza
2025-04-23,18:40,3D,Castellano,Las Tipas,MINECRAFT
2025-04-23,22:40,2D,Castellano,Showcase,Tierras perdidas
2025-04-23,19:35,2D,Subtitulado,Showcase,El Amateur: Operación Venganza
2025-04-23,22:25,2D,Subtitulado,Showcase,El Amateur: Operación Venganza
2025-04-23,17:30,4D,Castellano,Las Tipas,MINECRAFT
2025-04-23,20:10,2D,Subtitulado,Showcase,DROP AMENAZA ANONIMA
2025-04-23,22:15,2D,Subtitulado,Showcase,PECADORES
2025-04-23,19:50,4D,Castellano,Las Tipas,MINECRAFT
2025-04-23,22:00,2D,Castellano,Monumental,Tierras perdidas
2025-04-23,19:20,2D,Castellano,Monumental,MINECRAFT
2025-04-23,22:35,2D,Subtitulado,Showcase,DROP AMENAZA ANONIMA
2025-04-23,17:50,2D,Castellano,Showcase,DROP AMENAZA ANONIMA
2025-04-23,19:10,2D,Castellano,Las Tipas,DROP AMENAZA ANONIMA
2025-04-23,21:55,2D,Castellano,Showcase,BLANCANIEVES
2025-04-23,19:25,2D,Castellano,Showcase,BLANCANIEVES
2025-04-23,22:05,2D,Castellano,Showcase,Rescate implacable
2025-04-23,19:10,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,19:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,19:20,2D,Castellano,Las Tipas,The Chosen: La última cena
2025-04-23,19:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,22:10,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,22:30,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,21:30,2D,Subtitulado,Las Tipas,DROP AMENAZA ANONIMA
2025-04-23,17:50,2D,Castellano,Las Tipas,Looney Tunes
2025-04-23,18:50,4D,Castellano,Las Tipas,PECADORES
2025-04-23,21:40,4D,Subtitulado,Las Tipas,PECADORES
2025-04-23,21:30,2D,Castellano,Monumental,MINECRAFT
2025-04-23,20:00,2D,Castellano,Monumental,MINECRAFT
2025-04-23,21:50,2D,Castellano,Showcase,MAZEL TOV
2025-04-23,22:40,2D,Castellano,Cinépolis,El Amateur: Operación Venganza
2025-04-23,18:00,4D,Castellano,Las Tipas,MINECRAFT
2025-04-23,19:05,2D,Castellano,Showcase,The Chosen: La última cena
2025-04-23,18:20,2D,Castellano,Cinépolis,Looney Tunes
2025-04-23,20:30,2D,Castellano,Cinépolis,Looney Tunes
2025-04-23,19:30,2D,Castellano,Cinépolis,PECADORES
2025-04-23,22:30,2D,Castellano,Cinépolis,PECADORES
2025-04-23,20:35,2D,Castellano,Cinépolis,DROP AMENAZA ANONIMA
2025-04-23,22:50,2D,Castellano,Cinépolis,DROP AMENAZA ANONIMA
2025-04-23,22:15,2D,Castellano,Cinépolis,Tierras perdidas
2025-04-23,20:20,4D,Castellano,Las Tipas,MINECRAFT
2025-04-23,18:25,2D,Castellano,Cinépolis,MINECRAFT
2025-04-23,20:00,2D,Castellano,Cinépolis,MINECRAFT
2025-04-23,22:30,2D,Castellano,Cinépolis,MINECRAFT
2025-04-23,19:10,3D,Castellano,Cinépolis,MINECRAFT
2025-04-23,19:50,3D,Castellano,Cinépolis,MINECRAFT
2025-04-23,22:10,3D,Castellano,Cinépolis,MINECRAFT
2025-04-23,21:45,3D,Castellano,Cinépolis,MINECRAFT
2025-04-23,21:00,2D,Castellano,Showcase,MINECRAFT
2025-04-23,19:40,2D,Castellano,Showcase,MINECRAFT
