Nombre,Fecha,Tipo,Horario
BLANCANIEVES,2025-04-23,doblada,19:40
MAZEL TOV,2025-04-23,doblada,19:00
MAZEL TOV,2025-04-23,doblada,21:15
PECADORES,2025-04-23,doblada,21:00
DROP AMENAZA ANONIMA,2025-04-23,doblada,22:20
TIERRAS PERDIDAS,2025-04-23,doblada,22:00
MINECRAFT,2025-04-23,doblada,18:30
MINECRAFT,2025-04-23,doblada,19:20
MINECRAFT,2025-04-23,doblada,20:00
MINECRAFT,2025-04-23,doblada,21:30
ROBOT SALVAJE,2025-04-24,doblada,16:30
EL CONTADOR 2,2025-04-24,doblada,18:55
EL CONTADOR 2,2025-04-24,doblada,21:10
STAR WARS EPI.3 LA VENGAZA DE LOS SIHT,2025-04-24,subtitulada,21:20*
PUENTE EN LLAMAS,2025-04-24,doblada,21:25
UNTIL DAWN : NOCHE DE TERROR,2025-04-24,doblada,19:00
UNTIL DAWN : NOCHE DE TERROR,2025-04-24,doblada,22:15
BLANCANIEVES,2025-04-24,doblada,17:00
MAZEL TOV,2025-04-24,doblada,19:15
MINECRAFT,2025-04-24,doblada,14:50
MINECRAFT,2025-04-24,doblada,16:00
MINECRAFT,2025-04-24,doblada,16:45
MINECRAFT,2025-04-24,doblada,17:55
MINECRAFT,2025-04-24,doblada,18:45
MINECRAFT,2025-04-24,doblada,20:00
MINECRAFT,2025-04-24,doblada,21:05
ROBOT SALVAJE,2025-04-25,doblada,16:30
EL CONTADOR 2,2025-04-25,doblada,18:55
EL CONTADOR 2,2025-04-25,doblada,21:10
STAR WARS EPI.3 LA VENGAZA DE LOS SIHT,2025-04-25,subtitulada,21:20*
PUENTE EN LLAMAS,2025-04-25,doblada,21:25
UNTIL DAWN : NOCHE DE TERROR,2025-04-25,doblada,19:00
UNTIL DAWN : NOCHE DE TERROR,2025-04-25,doblada,22:15
BLANCANIEVES,2025-04-25,doblada,17:00
MAZEL TOV,2025-04-25,doblada,19:15
MINECRAFT,2025-04-25,doblada,14:50
MINECRAFT,2025-04-25,doblada,16:00
MINECRAFT,2025-04-25,doblada,16:45
MINECRAFT,2025-04-25,doblada,17:55
MINECRAFT,2025-04-25,doblada,18:45
