"Nombre","Fecha","Tipo","Horario"
"David Gilmour live at the Circus Maximus, Rome","2025-09-17","2D-Subtitulado","19:30"
"David Gilmour live at the Circus Maximus, Rome","2025-09-21","2D-Subtitulado","19:30"
"Una velada con Dua Lipa","2025-09-18","2D-Subtitulado","21:00"
"Una velada con Dua Lipa","2025-09-19","2D-Subtitulado","21:00"
"La Novicia Rebelde 60° aniversario","2025-09-20","2D-Subtitulado","16:25"
"La Novicia Rebelde 60° aniversario","2025-09-23","2D-Subtitulado","19:00"
"BTS 2016 Live The Most Beautiful Moment: Epilogue","2025-09-24","2D-Subtitulado","18:00"
"BTS 2016 Live The Most Beautiful Moment: Epilogue","2025-09-28","2D-Subtitulado","14:30"
"BTS 2017 THE WINGS TOUR THE FINAL Remastered","2025-09-25","2D-Subtitulado","18:00"
"BTS 2017 THE WINGS TOUR THE FINAL Remastered","2025-09-28","2D-Subtitulado","16:50"
"BTS 2019 ‘LOVE YOURSELF: SPEAK YOURSELF’ LONDON","2025-10-09","2D-Subtitulado","18:00"
"BTS 2019 ‘LOVE YOURSELF: SPEAK YOURSELF’ LONDON","2025-10-12","2D-Subtitulado","14:30"
"BTS 2021 MUSTER SOWOOZOO Remastered","2025-10-10","2D-Subtitulado","18:00"
"BTS 2021 MUSTER SOWOOZOO Remastered","2025-10-12","2D-Subtitulado","17:00"
"Mitski: The Land","2025-10-22","2D-Subtitulado","20:00"
"ParaNorman (Remastered)","2025-10-23","2D-Doblada","19:15"
"ParaNorman (Remastered)","2025-10-25","2D-Doblada","16:50"
"ParaNorman (Remastered)","2025-10-26","2D-Doblada","16:50"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-14","2D-Subtitulado","19:20"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-14","2D-Subtitulado","22:10"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-14","2D-Subtitulado","22:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-14","2D-Doblada","19:15"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-14","2D-Doblada","21:50"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","15:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","16:10"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","19:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","19:20"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","22:10"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Subtitulado","22:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Doblada","14:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Doblada","17:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-15","2D-Doblada","21:50"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","15:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","16:10"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","19:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","19:20"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","22:10"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Subtitulado","22:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Doblada","14:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Doblada","17:00"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-16","2D-Doblada","21:50"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-17","2D-Subtitulado","15:30"
"Demon Slayer: Kimetsu no Yaiba Castillo Infinito","2025-09-17","2D-Subtitulado","16:10"
