"Nombre","Fecha","Tipo","Horario"
"Homo argentum","2025-09-15","2D","21:10"
"Homo argentum","2025-09-15","2D","21:50"
"Demon Slayer: Castillo Infinito","2025-09-15","4D SUB","22:10"
"Verano Trippin","2025-09-15","2D","21:40"
"Together: Juntos hasta la muerte","2025-09-15","2D","22:20"
"Otro viernes de locos","2025-09-15","2D","20:00"
"El Conjuro: Los Ultimos Ritos","2025-09-15","4D","22:00"
"El Conjuro: Los Ultimos Ritos","2025-09-15","4D SUB","22:30"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-15","2D","21:00"
"Los 4 Fantásticos: Primeros pasos","2025-09-16","3D","19:20"
"Los tipos malos 2","2025-09-16","3D","15:20"
"Homo argentum","2025-09-16","2D","14:00"
"Homo argentum","2025-09-16","2D","16:30"
"Homo argentum","2025-09-16","2D","18:50"
"Homo argentum","2025-09-16","2D","19:30"
"Homo argentum","2025-09-16","2D","21:10"
"Homo argentum","2025-09-16","2D","21:50"
"Demon Slayer: Castillo Infinito","2025-09-16","4D","16:00"
"Demon Slayer: Castillo Infinito","2025-09-16","4D SUB","19:10"
"Demon Slayer: Castillo Infinito","2025-09-16","4D SUB","22:10"
"Toy Story (RE)","2025-09-16","2D","15:10"
"Toy Story (RE)","2025-09-16","2D","17:10"
"Toy Story (RE)","2025-09-16","4D","14:40"
"Verano Trippin","2025-09-16","2D","21:40"
"Together: Juntos hasta la muerte","2025-09-16","2D SUB","22:20"
"200% Lobo","2025-09-16","2D","15:10"
"200% Lobo","2025-09-16","2D","17:20"
"Demon Slayer: Castillo Infinito","2025-09-16","2D SUB","15:00"
"Otro viernes de locos","2025-09-16","2D","17:40"
"Otro viernes de locos","2025-09-16","2D","20:00"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","13:40"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","16:20"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","16:50"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","19:10"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","19:40"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D","22:00"
"El Conjuro: Los Ultimos Ritos","2025-09-16","4D SUB","22:30"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-16","2D","18:10"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-16","2D","21:00"
"Los 4 Fantásticos: Primeros pasos","2025-09-17","3D","19:20"
"Los tipos malos 2","2025-09-17","3D","15:20"
"Homo argentum","2025-09-17","2D","14:00"
"Homo argentum","2025-09-17","2D","16:30"
"Homo argentum","2025-09-17","2D","18:50"
"Homo argentum","2025-09-17","2D","19:30"
"Homo argentum","2025-09-17","2D","21:10"
"Homo argentum","2025-09-17","2D","21:50"
"Demon Slayer: Castillo Infinito","2025-09-17","4D","16:00"
"Demon Slayer: Castillo Infinito","2025-09-17","4D SUB","19:10"
"Demon Slayer: Castillo Infinito","2025-09-17","4D SUB","22:10"
"Toy Story (RE)","2025-09-17","2D","15:10"
"Toy Story (RE)","2025-09-17","2D","17:10"
"Toy Story (RE)","2025-09-17","4D","14:40"
"Verano Trippin","2025-09-17","2D","21:40"
"Together: Juntos hasta la muerte","2025-09-17","2D","22:20"
"200% Lobo","2025-09-17","2D","15:10"
"200% Lobo","2025-09-17","2D","17:20"
"Demon Slayer: Castillo Infinito","2025-09-17","2D SUB","15:00"
"Otro viernes de locos","2025-09-17","2D","17:40"
"Otro viernes de locos","2025-09-17","2D","20:00"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","13:40"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","16:20"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","16:50"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","19:10"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","19:40"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D","22:00"
"El Conjuro: Los Ultimos Ritos","2025-09-17","4D SUB","22:30"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-17","2D","18:10"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-17","2D","21:00"
"Mascotas al rescate","2025-09-19","2D","15:10"
"F1","2025-09-19","4D","19:30"
"Los 4 Fantásticos: Primeros pasos","2025-09-19","3D","21:40"
"Los tipos malos 2","2025-09-19","3D","15:20"
"Belén","2025-09-19","2D","17:00"
"Belén","2025-09-19","2D","19:10"
"El gran viaje de tu vida","2025-09-19","2D","20:00"
"El gran viaje de tu vida","2025-09-19","2D SUB","22:20"
"Papá x Dos","2025-09-19","2D","14:50"
"Papá x Dos","2025-09-19","2D","19:20"
"Papá x Dos","2025-09-19","2D","21:30"
"Homo argentum","2025-09-19","2D","14:00"
"Homo argentum","2025-09-19","2D","16:30"
"Homo argentum","2025-09-19","2D","18:50"
"Homo argentum","2025-09-19","2D","21:10"
"Demon Slayer: Castillo Infinito","2025-09-19","4D","16:00"
"Demon Slayer: Castillo Infinito","2025-09-19","4D SUB","19:00"
"Demon Slayer: Castillo Infinito","2025-09-19","4D","22:10"
"Toy Story (RE)","2025-09-19","2D","17:10"
"Toy Story (RE)","2025-09-19","4D","14:40"
"Demon Slayer: Castillo Infinito","2025-09-19","2D SUB","15:00"
"Otro viernes de locos","2025-09-19","2D","17:40"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D","13:40"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D","16:20"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D","16:50"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D","19:10"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D","22:00"
"El Conjuro: Los Ultimos Ritos","2025-09-19","4D SUB","22:30"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-19","2D","18:10"
"El Conjuro: Los Ultimos Ritos 2D","2025-09-19","2D","21:00"
"Mascotas al rescate","2025-09-20","2D","15:10"
"F1","2025-09-20","4D","19:30"
"Los 4 Fantásticos: Primeros pasos","2025-09-20","3D SUB","21:40"
"Los tipos malos 2","2025-09-20","3D","15:20"
"Belén","2025-09-20","2D","17:00"
"Belén","2025-09-20","2D","19:10"
"El gran viaje de tu vida","2025-09-20","2D","20:00"
"El gran viaje de tu vida","2025-09-20","2D SUB","22:20"
"Papá x Dos","2025-09-20","2D","14:50"
"Papá x Dos","2025-09-20","2D","19:20"
"Papá x Dos","2025-09-20","2D","21:30"
"Homo argentum","2025-09-20","2D","14:00"
"Homo argentum","2025-09-20","2D","16:30"
"Homo argentum","2025-09-20","2D","18:50"
"Homo argentum","2025-09-20","2D","21:10"
"Demon Slayer: Castillo Infinito","2025-09-20","4D","13:00"
"Demon Slayer: Castillo Infinito","2025-09-20","4D","16:00"
"Demon Slayer: Castillo Infinito","2025-09-20","4D SUB","19:00"
"Demon Slayer: Castillo Infinito","2025-09-20","4D","22:10"
"Toy Story (RE)","2025-09-20","2D","17:10"
"Toy Story (RE)","2025-09-20","4D","14:40"
"Demon Slayer: Castillo Infinito","2025-09-20","2D SUB","15:00"
"Otro viernes de locos","2025-09-20","2D","17:40"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D","13:40"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D","16:20"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D","16:50"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D","19:10"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D","22:00"
"El Conjuro: Los Ultimos Ritos","2025-09-20","4D SUB","22:30"
